model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_1_20250814_221122_model_1,0.8477712363330531,0.4183824715561632,0.8975455290237745,0.2310064479955144,0.3617278131111888,0.1308470107782031
GBM_grid_1_AutoML_1_20250814_221122_model_9,0.8312307261003644,0.4405281486565722,0.8918079945943055,0.2560975609756097,0.3712844640575913,0.1378521532505328
GBM_grid_1_AutoML_1_20250814_221122_model_5,0.8149705634987385,0.4328394623884505,0.882241734377843,0.2682926829268293,0.3710877391930502,0.1377061101794092
GBM_grid_1_AutoML_1_20250814_221122_model_35,0.8127277824502382,0.436941066366635,0.8875908572348562,0.2560975609756097,0.3675688991086761,0.1351068955919641
GBM_3_AutoML_1_20250814_221122,0.8113260442949257,0.4424868529036777,0.8560481403060395,0.2560975609756097,0.3707592677563448,0.1374624346272209
GBM_grid_1_AutoML_1_20250814_221122_model_4,0.8102046537706757,0.4472238303971507,0.8791596947295013,0.2496495654611718,0.3739777744098517,0.1398593757525458
GBM_grid_1_AutoML_1_20250814_221122_model_10,0.8085225679843006,0.4392534007061564,0.8693407796656758,0.2560975609756097,0.3694677788208736,0.1365064395868299
GBM_grid_1_AutoML_1_20250814_221122_model_47,0.8085225679843006,0.4660187912996973,0.8853065893919001,0.2604429492570788,0.3865199620320528,0.1493976810492595
GBM_grid_1_AutoML_1_20250814_221122_model_45,0.8048780487804879,0.506311010376942,0.8947884994021352,0.2862349313148304,0.4055380956529161,0.1644611470257937
GBM_grid_1_AutoML_1_20250814_221122_model_11,0.8045977011494253,0.4559145734382966,0.8791360642696514,0.2560975609756097,0.3801395603014456,0.1445060853061764
GBM_grid_1_AutoML_1_20250814_221122_model_48,0.7999719652368937,0.4391235697575446,0.8763381286069111,0.2560975609756097,0.3699994020646343,0.1368995575281869
GBM_grid_1_AutoML_1_20250814_221122_model_12,0.7992710961592374,0.4382880693739466,0.8666839051715888,0.2560975609756097,0.3694847101933636,0.1365189510666739
DRF_1_AutoML_1_20250814_221122,0.7982898794505187,0.4670061553287808,0.8600634022420721,0.2804878048780488,0.3794747550522754,0.1440010897219844
GBM_grid_1_AutoML_1_20250814_221122_model_34,0.797869358003925,0.4937051846981672,0.868521998432826,0.2682926829268293,0.3962800377436772,0.1570378683141302
GBM_grid_1_AutoML_1_20250814_221122_model_41,0.7970283151107374,0.4568574379139401,0.871470423678274,0.2560975609756097,0.3809087522272081,0.1450914775232886
GBM_grid_1_AutoML_1_20250814_221122_model_8,0.7967479674796747,0.4591979720284261,0.8664965112787789,0.2740398093636109,0.3825469398575459,0.1463421611943728
GBM_grid_1_AutoML_1_20250814_221122_model_53,0.7957667507709559,0.5577137865199784,0.8918731305323605,0.2834314550042052,0.4320877633144144,0.1866998352060534
GBM_grid_1_AutoML_1_20250814_221122_model_13,0.7922624053826746,0.4667500384515066,0.8418033606879117,0.2618446874123913,0.3818439031865016,0.1458047664007024
GBM_grid_1_AutoML_1_20250814_221122_model_31,0.7922624053826746,0.4970756763368974,0.8536300770307201,0.261143818334735,0.3991367018866301,0.1593101067929366
DeepLearning_1_AutoML_1_20250814_221122,0.7917017101205495,0.4501904127049305,0.8601478567469262,0.2682926829268293,0.3784973803373985,0.1432602669222733
GBM_grid_1_AutoML_1_20250814_221122_model_54,0.7904401457807683,0.5705352753809925,0.8766767825019128,0.3350154191197084,0.4386038671702186,0.1923733522966707
XRT_1_AutoML_1_20250814_221122,0.7897392767031118,0.5008162945528563,0.870343255418875,0.3041771797028315,0.403447199279408,0.1627696426063983
GBM_grid_1_AutoML_1_20250814_221122_model_28,0.7894589290720494,0.4658216272102151,0.8587525629099023,0.2560975609756097,0.3832483725487723,0.1468793150612826
GBM_grid_1_AutoML_1_20250814_221122_model_32,0.7888982338099243,0.4622308158421809,0.8420422040121993,0.2560975609756097,0.3799578063684409,0.1443679346203176
GBM_grid_1_AutoML_1_20250814_221122_model_39,0.7874964956546117,0.4604297600615571,0.8708663089927716,0.2804878048780488,0.3835022171307087,0.1470739505441692
GBM_2_AutoML_1_20250814_221122,0.7869358003924867,0.4556884576011056,0.8625327184620766,0.2560975609756097,0.3784565989245495,0.1432293972695373
GBM_grid_1_AutoML_1_20250814_221122_model_3,0.7863751051303616,0.5004107241411913,0.8615879498741147,0.2489486963835156,0.4013023260824765,0.1610435569192063
GBM_grid_1_AutoML_1_20250814_221122_model_38,0.7860947574992991,0.4617791081811587,0.8429966101668208,0.2618446874123913,0.379986430469062,0.1443896873406193
GBM_grid_1_AutoML_1_20250814_221122_model_43,0.7841323240818615,0.4643339786685955,0.833424549170491,0.2188113260442949,0.3798571111583891,0.1442914248975968
